deck \ opponent (a_win_rate),league_water_anti_disruption_pivot_v1,league_water_core_reference,core_pilot_water_v2_runtime,league_dragapult_spread,league_dragapult_v1_search_only,league_dragapult_v1_draw_only,league_mega_venusaur_tank,effect_loop_exit_guard_v1,league_raging_bolt_ogerpon,league_raging_bolt_consistency_v1,league_raging_bolt_energy_attacker_v1,league_mega_charizard_x_burst,league_mega_gardevoir_psychic_ramp
league_water_anti_disruption_pivot_v1,—,0.1667,0.5,0.6667,0.5,0.8333,1.0,0.3333,0.8333,1.0,1.0,0.5,1.0
league_water_core_reference,0.8333,—,0.8333,0.5,0.5,0.0,1.0,0.8333,1.0,1.0,1.0,0.5,1.0
core_pilot_water_v2_runtime,0.5,0.1667,—,0.1667,0.5,0.5,0.75,0.6667,0.8333,1.0,1.0,0.1667,1.0
league_dragapult_spread,0.3333,0.5,0.8333,—,0.1667,0.5,1.0,0.3333,1.0,1.0,1.0,0.6667,1.0
league_dragapult_v1_search_only,0.5,0.5,0.5,0.8333,—,0.4,0.75,0.8333,1.0,1.0,1.0,0.5,0.8333
league_dragapult_v1_draw_only,0.1667,1.0,0.5,0.5,0.6,—,0.3333,0.3333,1.0,1.0,1.0,0.8333,1.0
league_mega_venusaur_tank,0.0,0.0,0.25,0.0,0.25,0.6667,—,0.4,1.0,0.5,1.0,0.0,1.0
effect_loop_exit_guard_v1,0.6667,0.1667,0.3333,0.6667,0.1667,0.6667,0.6,—,1.0,1.0,1.0,0.1667,0.8333
league_raging_bolt_ogerpon,0.1667,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,—,0.3333,0.5,0.0,0.1667
league_raging_bolt_consistency_v1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.6667,—,0.6667,0.0,0.0
league_raging_bolt_energy_attacker_v1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3333,—,0.0,0.0
league_mega_charizard_x_burst,0.5,0.5,0.8333,0.3333,0.5,0.1667,1.0,0.8333,1.0,1.0,1.0,—,1.0
league_mega_gardevoir_psychic_ramp,0.0,0.0,0.0,0.0,0.1667,0.0,0.0,0.1667,0.8333,1.0,1.0,0.0,—
