candidate_id,family_id,valid_60,card_count,unique_card_count,basic_pokemon,non_basic_pokemon,evolution_count,ex_count,mega_count,basic_energy,special_energy,energy_total,trainer_total,search_draw_count_heuristic,recovery_count_heuristic,opening_no_basic_probability,bench_redundancy_score,evolution_complexity_score,energy_ratio,pilot_complexity_score,no_pokemon_loss_risk,deckout_risk,previous_kaggle_score
combo_full_safety_v3_entrypoint_safe_local,unknown,True,60,11,8,4,4,4,4,29,0,29,19,15,0,0.34641,0.933,0.333,0.483,0.28,high,medium,
core_pilot_water_v1,unknown,True,60,11,8,4,4,4,4,29,0,29,19,15,0,0.34641,0.933,0.333,0.483,0.28,high,medium,
core_pilot_water_v1__ablate_no_active_scoring,unknown,True,60,11,8,4,4,4,4,29,0,29,19,15,0,0.34641,0.933,0.333,0.483,0.28,high,medium,
core_pilot_water_v1__ablate_no_bench_safety,unknown,True,60,11,8,4,4,4,4,29,0,29,19,15,0,0.34641,0.933,0.333,0.483,0.28,high,medium,
core_pilot_water_v1__ablate_no_deckout_guard,unknown,True,60,11,8,4,4,4,4,29,0,29,19,15,0,0.34641,0.933,0.333,0.483,0.28,high,medium,
core_pilot_water_v2_runtime,water,True,60,11,8,4,4,4,4,29,0,29,19,15,0,0.34641,0.933,0.333,0.483,0.28,high,medium,
core_pilot_water_v3_context,unknown,True,60,11,8,4,4,4,4,29,0,29,19,15,0,0.34641,0.933,0.333,0.483,0.28,high,medium,
deck12_lean_energy_more_tools,unknown,True,60,11,8,4,4,4,4,27,0,27,21,15,0,0.34641,0.933,0.333,0.45,0.28,high,medium,
deck12_less_draw_more_attack,unknown,True,60,11,8,4,4,4,4,33,0,33,15,11,0,0.34641,0.933,0.333,0.55,0.28,high,medium,
deck12_mega_signal_heavy,unknown,True,60,11,8,4,4,4,4,27,0,27,21,17,0,0.34641,0.933,0.333,0.45,0.28,high,medium,
deck12_no_secret_box,unknown,True,60,10,8,4,4,4,4,30,0,30,18,14,0,0.34641,0.933,0.333,0.5,0.267,high,medium,
deck12_powerglass_heavy,unknown,True,60,11,8,4,4,4,4,27,0,27,21,15,0,0.34641,0.933,0.333,0.45,0.28,high,medium,
deck_less_draw_more_attack,unknown,True,60,11,8,4,4,4,4,33,0,33,15,11,0,0.34641,0.933,0.333,0.55,0.28,high,medium,
deck_no_secret_box,unknown,True,60,10,8,4,4,4,4,30,0,30,18,14,0,0.34641,0.933,0.333,0.5,0.267,high,medium,
deckout_guard_v1,unknown,True,60,11,8,4,4,4,4,29,0,29,19,15,0,0.34641,0.933,0.333,0.483,0.28,high,medium,
effect_loop_exit_guard_v1,venusaur,True,60,13,4,6,6,3,3,21,0,21,29,20,2,0.6005,0.467,0.9,0.35,0.533,high,medium,
hybrid_guard_v1,unknown,True,60,11,8,4,4,4,4,29,0,29,19,15,0,0.34641,0.933,0.333,0.483,0.28,high,medium,
league_dragapult_spread,dragapult,True,60,14,6,9,9,4,0,17,0,17,28,20,4,0.45856,0.7,1.0,0.283,0.587,high,medium,
league_dragapult_spread_v1,unknown,True,60,14,6,9,9,4,0,17,0,17,28,20,4,0.45856,0.7,1.0,0.283,0.587,high,medium,
league_dragapult_v1_draw_only,dragapult,True,60,14,6,9,9,4,0,17,0,17,28,20,4,0.45856,0.7,1.0,0.283,0.587,high,medium,
league_dragapult_v1_search_only,dragapult,True,60,14,6,9,9,4,0,17,0,17,28,20,4,0.45856,0.7,1.0,0.283,0.587,high,medium,306.7
