candidate_lo,candidate_hi,n,lo_wins,hi_wins,draws,invalid,lo_win_rate
diamond_toolbox_diancie,league_dragapult_v1_search_only,2,0,2,0,0,0.0
diamond_toolbox_diancie,league_mega_charizard_x_burst,1,0,1,0,0,0.0
diamond_toolbox_diancie,league_mega_gardevoir_psychic_ramp,1,1,0,0,0,1.0
diamond_toolbox_diancie,league_mega_venusaur_tank,1,1,0,0,0,1.0
diamond_toolbox_diancie,mono_lightning_miraidon_easy,1,0,1,0,0,0.0
league_dragapult_spread,league_dragapult_v1_search_only,1,1,0,0,0,1.0
league_mega_charizard_x_burst,mega_charizard_x_burst_typed35,1,1,0,0,0,1.0
league_mega_gardevoir_psychic_ramp,mega_gardevoir_psychic_ramp_typed35,1,0,1,0,0,0.0
league_mega_venusaur_tank,mega_venusaur_tank_typed35,1,0,1,0,0,0.0
league_water_anti_disruption_pivot_v1,league_water_core_reference,1,1,0,0,0,1.0
league_water_anti_disruption_pivot_v1,water_basic_density_v1,1,1,0,0,0,1.0
